welcome.started,welcome.stopped,ID-Nummer,Alter,Geschlecht (optional),date,expName,psychopyVersion,OS,frameRate,participant,load_guess_conditions.started,load_guess_conditions.stopped,guess_conditions.thisRepN,guess_conditions.thisTrialN,guess_conditions.thisN,guess_conditions.thisIndex,guess_conditions.ran,guess_trial,randomizer,instructions1.started,instructions1.stopped,instruction1_key.keys,instruction1_key.rt,instruction1_key.duration,instructions2.started,instructions2.stopped,instruction2_key.keys,instruction2_key.rt,instruction2_key.duration,instructions3.started,instructions3.stopped,instruction3_key.keys,instruction3_key.rt,instruction3_key.duration,instructions4.started,instructions4.stopped,instruction4_key.keys,instruction4_key.rt,instruction4_key.duration,instructions5.started,instructions5.stopped,instruction5_key.keys,instruction5_key.rt,instruction5_key.duration,iti_learning_practice.started,iti_learning_practice.stopped,guess.started,guess.stopped,end_guess.keys,guess_response.started,guess_response.stopped,guess_reached.keys,feedback_guess.started,feedback_guess.stopped,trial_type,encode.started,encode.stopped,end_encoding.keys,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,cue,target,guess_reached.rt,guess_reached.duration,start_task.started,start_task.stopped,start_key.keys,start_key.rt,start_key.duration,iti_learning.started,iti_learning.stopped,task_break.started,task_break.stopped,task_break_resp.keys,learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,learning_trials.ran,task_break_resp.rt,task_break_resp.duration
,,246684,20,,2024-12-12_17h53.41.978,guess,2024.2.4,Win32,60.16847172,2450,3.021,3.021,0,9,9,0,1,Read,0.51513309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,246684,20,,2024-12-12_17h53.41.978,guess,2024.2.4,Win32,60.16847172,2450,3.021,3.021,0,10,10,26,1,Read,0.055311196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,246684,20,,2024-12-12_17h53.41.978,guess,2024.2.4,Win32,60.16847172,2450,3.021,3.021,0,11,11,12,1,Read,0.24480295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,246684,20,,2024-12-12_17h53.41.978,guess,2024.2.4,Win32,60.16847172,2450,3.021,3.021,0,12,12,37,1,Guess,0.585062366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,246684,20,,2024-12-12_17h53.41.978,guess,2024.2.4,Win32,60.16847172,2450,3.022,3.022,0,13,13,31,1,Guess,0.092580742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,246684,20,,2024-12-12_17h53.41.978,guess,2024.2.4,Win32,60.16847172,2450,3.022,3.022,0,14,14,11,1,Guess,0.805573122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,246684,20,,2024-12-12_17h53.41.978,guess,2024.2.4,Win32,60.16847172,2450,3.022,3.022,0,15,15,34,1,Read,0.112797892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,246684,20,,2024-12-12_17h53.41.978,guess,2024.2.4,Win32,60.16847172,2450,3.022,3.022,0,16,16,6,1,Read,0.777201569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,246684,20,,2024-12-12_17h53.41.978,guess,2024.2.4,Win32,60.16847172,2450,3.022,3.022,0,17,17,22,1,Read,0.483519141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,246684,20,,2024-12-12_17h53.41.978,guess,2024.2.4,Win32,60.16847172,2450,3.022,3.022,0,18,18,30,1,Read,0.191181817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
